Cancer id,Cancer label,Population code (ISO/UN),Alpha‑3 code,Population,Sex,Incidence - ASR (World),Mortality - ASR (World),Grouped by
39,All cancers,512,OMN,Oman,0,105.25,66.29,Asia
39,All cancers,784,ARE,United Arab Emirates,0,105.12,54.35,Asia
39,All cancers,356,IND,India,0,98.54,64.35,Asia
39,All cancers,762,TJK,Tajikistan,0,91.72,63.9,Asia
39,All cancers,064,BTN,Bhutan,0,87.62,67.16,Asia
39,All cancers,682,SAU,Saudi Arabia,0,87.09,46.19,Asia
39,All cancers,626,TLS,Timor-Leste,0,84.45,55.44,Asia
39,All cancers,887,YEM,Yemen,0,83.13,63.71,Asia
39,All cancers,634,QAT,Qatar,0,82.37,46.17,Asia
39,All cancers,524,NPL,Nepal,0,81.6,55.29,Asia
39,All cancers,208,DNK,Denmark,0,374.69,106.48,Europe
39,All cancers,578,NOR,Norway,0,357.9,91.81,Europe
39,All cancers,372,IRL,Ireland,0,344.7,98.69,Europe
39,All cancers,528,NLD,The Netherlands,0,341.44,103.22,Europe
39,All cancers,250,FRA,France (metropolitan),0,339.02,106.67,Europe
39,All cancers,348,HUN,Hungary,0,336.74,143.72,Europe
39,All cancers,056,BEL,Belgium,0,324.67,92.43,Europe
39,All cancers,191,HRV,Croatia,0,313.4,125.73,Europe
39,All cancers,752,SWE,Sweden,0,310.03,85.21,Europe
39,All cancers,826,GBR,United Kingdom,0,307.82,98.28,Europe
39,All cancers,705,SVN,Slovenia,0,305.14,116.7,Europe
39,All cancers,620,PRT,Portugal,0,294.63,108.95,Europe
39,All cancers,756,CHE,Switzerland,0,292.72,78.79,Europe
39,All cancers,196,CYP,Cyprus,0,292.27,111.53,Europe
39,All cancers,428,LVA,Latvia,0,288.89,122.93,Europe
39,All cancers,440,LTU,Lithuania,0,287.93,124.99,Europe
39,All cancers,380,ITA,Italy,0,284.49,94.17,Europe
39,All cancers,703,SVK,Slovakia,0,283.3,125.7,Europe
39,All cancers,470,MLT,Malta,0,282.52,81.57,Europe
39,All cancers,233,EST,Estonia,0,282.49,114.44,Europe
39,All cancers,203,CZE,Czechia,0,280.9,103.76,Europe
39,All cancers,908,,Europe,0,279.98,106.28,Europe
39,All cancers,246,FIN,Finland,0,276.85,79.81,Europe
39,All cancers,642,ROU,Romania,0,276.46,132.54,Europe
39,All cancers,724,ESP,Spain,0,274.58,88.78,Europe
39,All cancers,276,DEU,Germany,0,274.24,99.69,Europe
39,All cancers,442,LUX,Luxembourg,0,273.31,77.25,Europe
39,All cancers,112,BLR,Belarus,0,273.23,123.5,Europe
39,All cancers,352,ISL,Iceland,0,268.28,83.2,Europe
39,All cancers,616,POL,Poland,0,262.76,133.08,Europe
39,All cancers,300,GRC,Greece,0,258.66,100.59,Europe
39,All cancers,040,AUT,Austria,0,258.47,91.32,Europe
39,All cancers,688,SRB,Serbia,0,250.4,128.4,Europe
39,All cancers,643,RUS,Russian Federation,0,248.06,110.49,Europe
39,All cancers,499,MNE,Montenegro,0,237.99,121.38,Europe
39,All cancers,498,MDA,Moldova,0,232.15,122.79,Europe
39,All cancers,100,BGR,Bulgaria,0,222.03,114.19,Europe
39,All cancers,070,BIH,Bosnia Herzegovina,0,218.58,116.08,Europe
39,All cancers,807,MKD,North Macedonia,0,206.91,112.49,Europe
39,All cancers,804,UKR,Ukraine,0,199.85,101.08,Europe
39,All cancers,008,ALB,Albania,0,160.77,90.53,Europe
39,All cancers,858,URY,Uruguay,0,279.91,128.25,Latin America and the Caribbean
39,All cancers,312,GLP,"France, Guadeloupe",0,253.9,93.04,Latin America and the Caribbean
39,All cancers,630,PRI,Puerto Rico,0,226.63,74.98,Latin America and the Caribbean
39,All cancers,474,MTQ,"France, Martinique",0,224.16,79.31,Latin America and the Caribbean
39,All cancers,192,CUB,Cuba,0,220.76,110.2,Latin America and the Caribbean
39,All cancers,032,ARG,Argentina,0,215.82,102.69,Latin America and the Caribbean
39,All cancers,076,BRA,Brazil,0,214.43,91.25,Latin America and the Caribbean
39,All cancers,052,BRB,Barbados,0,205.34,113.26,Latin America and the Caribbean
39,All cancers,254,GUF,French Guyana,0,204.28,82.55,Latin America and the Caribbean
39,All cancers,388,JAM,Jamaica,0,199.58,116.58,Latin America and the Caribbean
